Merk,Title,Nummer,Category,Type_product,Beschrijving,Afbeelding
Ricoh,Theta V (1),1,Video,enkel product,360 camera,RicohThetaV.jpg
Ricoh,Theta V (2),2,Video,enkel product,360 camera,RicohThetaV.jpg
Ricoh,Theta V (3),3,Video,enkel product,360 camera,RicohThetaV.jpg
Ricoh,Theta V (4),4,Video,enkel product,360 camera,RicohThetaV.jpg
AKG,K 271 MK II,1,Audio,enkel product,Headphone,AKGK271MKII.jpg
AKG,K 271 MK II,2,Audio,enkel product,Headphone,AKGK271MKII.jpg
AKG,K 271 MK II,3,Audio,enkel product,Headphone,AKGK271MKII.jpg
AKG,K 271 MK II,4,Audio,enkel product,Headphone,AKGK271MKII.jpg
ADJ,Mega Tripar Profile Plus,1,Belichting,enkel product,,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,2,Belichting,enkel product,,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,3,Belichting,"enkel product",,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,4,Belichting,"enkel product",,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,5,Belichting,"enkel product",,ADJMegaTriParProfilePlus.jpg
Adafruit,ESP32 Feather,1,Elektronica,"enkel product",,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,2,Elektronica,"enkel product",,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,3,Elektronica,"enkel product",,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,4,Elektronica,"enkel product",,AdafruitESP32Feather.jpg
Audio Technica,ATR 3350,1,Audio,"enkel product","Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3351,2,Audio,"enkel product","Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3352,3,Audio,"enkel product","Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3353,4,Audio,"enkel product","Dasspeldmicrofoon",ATR3350.jpg
Apple,iPad Air 2 Wifi 16 GB Space Gray,1,"Varia",enkel product,,IpadAir2SpaceGrey.jpg
Apple,iPad Air Wifi 32GB Silver,1,"Varia",enkel product,,IpadAirSilver.jpg
Arduino,Arduino UNO R3 set met kabels,1,"Varia,Arduino uno board + kabel",set,,ArduinoUnoR3.jpg
Arduino,Arduino UNO R3 set met usb,2,"Varia, + USB",set,,ArduinoUnoR3.jpg
Arduino,Arduino UNO R3,3,Varia,,,ArduinoUnoR3.jpg
Blue,Yeti X,1,Audio,,USB Microphone voor gaming,BlueYetiX.jpg
Blue,Yeti X,2,Audio,,USB Microphone voor gaming,BlueYetiX.jpg
Canon,M50,1,Video,,Fototoestel,CanonM50.jpg
Canon,M50,2,Video,,Fototoestel,CanonM50.jpg
Canon,M50,3,Video,,Fototoestel,CanonM50.jpg
Canon,M50,4,Video,,Fototoestel,CanonM50.jpg
Canon,M50,5,Video,,Fototoestel,CanonM50.jpg
Canon,M50,6,Video,,Fototoestel,CanonM50.jpg
Canon,M50,7,Video,,Fototoestel,CanonM50.jpg
Canon,M50,8,Video,,Fototoestel,CanonM50.jpg
Canon,M50,9,Video,,Fototoestel,CanonM50.jpg
Canon,M50,10,Video,,Fototoestel,CanonM50.jpg
Canon,M50,11,Video,,Fototoestel,CanonM50.jpg
Canon,Eos R,1,Video,,Systeemcamera,CanonEOSR.jpg
Canon,Eos R,2,Video,,Systeemcamera,CanonEOSR.jpg
Canon,Eos R,3,Video,,Systeemcamera,CanonEOSR.jpg
